instagram_comments,offensive_language
Essa pirralha quer que todos façam pela preservação do planeta para que ela e outros como ela possam usufruir dos recursos tranquilamente. Baita hipócrita. O presidente ta mais do que certo e vc deputada: vá trabalhar pelo país que a elegeu !,1
"É triste esses esquerdistas são doentes e as faculdades estão formando jornalista sem ética,caráter e pudor. 💩👺",1
Vai trabalhar sua nojenta,1
Ridículo esse senhor.,1
Isso é um escroto. Velho safado.🤮,1
Falta cérebro joice. Nao é culpa dele nao. Nenem.,1
Parabéns Professor!! 😍😍😍,0
"Essa entrevista vou assistir por sua causa Deputado, quanto ao Queiróz já tem gente para se preocupar por mim 😂😂. Avisa se vai sair na quinta-feira mesmo. 👉🇧🇷",0
👏🙌 lula 2020 haddad senador,0
ACABOU A MAMATAAA!!!✨🇧🇷✨,1
Eu tô esperando pra ver isso desde que a @vivi.torrico deixou um spoiller na página dela há mais de um mês! 😬🌱,0
🤣🤣🤣🤣🤣🤣🤣#globolixo,1
Ele está certo. Vai ter um monte de argentino faminto invadindo aqui,1
E o petê?-desfoca o gado.,1
Vou assistir,0
Ridícula essa Greta.....,1
Parabéns Fachin.,0
Eleito por cristãos.,0
Ñ suporto essas palhaçadas esse ñ.me representa.,0
"Os Bolsofanáticos !!! É até bonito de ver... Quanta fidelidade ao mito !!! Pra vocês, o Bolsonaro está acima da lei e da ordem, ele pode fazer e falar o que quiser, e vocês dizem Amém Capitão, por favor coma minha mulher, ou, coma meu marido !!! Afinal ele pode tudo né ??? Imagino que o sonho de vocês é que isso realmente aconteça !!!! Vocês são piores que os vermelhos que gritavam por Lula Livre !!!! Sinto em dizer-lhes mas, a pirralha está certa !!! Que base o Bolsonaro tem pra falar de Meio Ambiente !!! Não se pode falar nada contra o clã Bolsonaro que vocês se manifestam !!! 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️",1
Como eu queria um Colégio militar em cada cidade.,0
"Isso a Globo Lixo, não divulga!",1
Parabéns!,0
"Ótimo gente,que votou no mito ,ainda vem mais...",0
Estou muito feliz e otimista com o Presidente que terá meu voto novamente.,0
"Amo a Leda, ela é a verdadeira jornalista. Ela faz TODAS as perguntas,boas ou não, toca em todas as feridas, mas sempre com educação, imparcialidade, gentileza. Amooo",0
a hipocrisia e uma coisa terrivel que faço questao de jogar na cara dos esquerdopatas q atacam a ministra,1
CAPA DA TIME AGORA VIROU LIXO,1
Muso,0
Um vagabundo,1
É comunista! Voces acham que ela não é igual ao ladrões do pt?,1
"Que nada! Deram mais um tiro no próprio pé! Quem espalha fake news?? Ós comunistas, ptistas, psolistas e outra iiiistas. Então, nao criemos pânico.",1
À imprensa podre elegeu .. pq é uma pirralha doutrinada .. parece até uma pessoa doente .. coitada .. usam a criatura .. as falas são devoradas .. lamentável 🤮,1
Bando de imbecil!,1
Querooooooo,0
Denúncia essa cambada!!! Quadrilha!!!,1
@erichlotto programa pra hoje a noite 🥰,0
"Agora vc me diz, esse velho filho da puta quer lutar pelo que? Se as coisas estão começando a andar.",1
Joice já foi melhor !! Uma pena tá parecendo a Globo agora !!,1
Esse verme tem q ser preso! !😠,1
Inteligente.,0
É apenas mais uma vagabundos.,1
"Se ela acha tão bacana o socialismo porque não vai morar na Venezuela, Cuba ou Coreia do Norte? Hipocrisia!!!!",1
#HaddadPresidente2022,0
Merecido 👏👏👏👏,0
Bora fazer arminha👏👏👏👏👏👏o povo sempre terá o governo que merece.,0
Ridícula essa briguinha de vocês . Será que daria para crescer e voltar a trabalhar pelo Brasil ???????????,1
Verdade preso político.Armacao do Moro eda quadrilha dele,1
Beleza Foicehasselmann,0
Faz me rir!!!,1
"E quem escolhe essas mulheres? Eu sou contra e se sou contra a minha ideologia se mantém. A objetivação da mulher seja preta, branca, amarela é algo que tem que ser erradicado Manuela. É uma mensagem contraditória. No feminismo lutamos por mudar esses conceitos hegemonicos. A luta é de todas as mulheres e de todas as etnias",0
Todos os podres querem ser lider. Inclusive os filhotes mimados. O respeito entre voces nao existe.,1
Neste caso tb concordo!,0
Gaga...,1
Os filhos do mito atrapalham demais! Batem fora do bumbo!!,0
"Meu Deus que vergonha desses seres travestido de humanos! São as crias de lucifer, não tem outra explicação...",1
Então pode começar pela SEITA PT.,1
Bando de safado e bandido!!,1
Eu estou também 👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,0
É verdade,0
Desgracados ! Como alguém vota num bando desse?,1
"Enquanto a esquerda fica discutindo se é quebra de decoro, se cabe impeachment, se deve ser cassado, o lado de lá já entendeu que é guerra. E nós estamos perdendo, porque se falo em revolução levo porrada até da esquerda.",1
"Eita, agora o meu coração pegou fogo 💟🔥",0
"Mas o q esperar da Globo lixo, e seus funcionários pagos pra lerem o script ?? Cabecinhas vazias..... 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",1
Lixooo!!,1
Maior setor de serviços do mundo....,0
toma fdp,1
Lula nosso futuro presidente 💜💜,0
ESTAMOS NO CAMINHO CERTO SE DEUS QUISER TUDO VAI DAR CERTO 👏👏🇧🇷🇧🇷,0
Opa. Esse eu vejo completo,0
"Eu quero ver se o Tramp perder,vai,ser melhor ainda.",0
Estamos juntos eleicoes 2022 Presidente Fernando Haddad,0
Vc é uma merda caroneira,1
Dois homens lindos,0
Globo lixo falida,1
🤔🤔🤔Lascou,0
Esse cara não consegue passar um dia a fazer merda!!!,1
Alguém lúcido neste STF,0
Lula livre homem voto no Lula,0
Pena q vc não faz o mesmo,0
vá em frente Deputada,0
Dois retratos do fracasso educacional do país!,1
Demagogia,1
Muito orgulho por termos na Paraíba um representante do nível de @realrcoutinho,0
👏👏👏👏👏👏 Esse Ministro Fachin e um homem de caráter ímpar parabéns,0
Clínica. Faz parte da esquerda demoníaca.,1
Só rindo...,0
Se fodeu,1
Adorei!🤣🤣🤣🤣🤣🤣🤣,0
Velho maluco tem que botar para a cadeia.,1
Nunca nem ouvi falar...pirralha q não sabe nada da vida...,1
"Essa só falta virar petista pq do resto já está igualzinha, lamentável 🤦🏽‍♂️",0
"Que absurdo contra essa mulher,ministra ou nao.",0
@tatyara_soares @calilelopes @geralda.lu @moto.resgate.voluntario olha que coisa linda 😍,0
Vagabundo,1
Essa e uma enviada de deus e uma profeta coracjoso fala com a força do esprito santo que nao deixa calar das injustica eum fenômeno enviada amem,0
Nojento boca suja,1
Sem vergonha trate do seu País o nosso temos Bolsonaro@,1
"Se ela fala merda porque, vcs minions , ainda param pra ouvir ? O presidente de vcs é um poço de sabedoria né ?!",1
Vagabundo vai ter o q merece ainda quero viver muito para assistir de camarote a derrota desse bozo👊👊👊,1
Venceremos a direitalha. Não percam suas esperanças.,1
Pilantra,1
"Esse merda vai inaugurar obras que ele jamais faria pela incompetência, está inaugurando obras que ele nem participou e ao invés de saudar, só fala merda. Horrivel esse escroto",1
Ja vou preparar a pipoca pro show da Entrevista! 👏👏🇧🇷🇧🇷🇧🇷🇧🇷,0
👏👏👏👏👏👏👏👏❤️ Sensatez! Essa é a palavra de ordem!,0
"Mas ainda queremos ser mulheres, e q mulher não quer ser bonita? A luta do feminismo não devia excluir a feminilidade. Sou feminista mas sou feminina. Um não exclui o outro. Parabéns a vencedora , nos mulheres negras merecemos mesmo .",0
Esse é o verdadeiro homem de Deus! SQN,1
"O que este “coroné”, conseguiu com sua truculência, foi dar visibilidade a uma obra! Agora espero que alguém a reproduza para que eu possa comprar",0
Dois professores maravilhosos,0
"Esse velho maldito tem que voltar pra cadeia, lá é o lugar desse safado.",1
A pertubada do ano!!!,1
"Deplorável, absurdo total. Ele vai ter q ser cassado, eu tô sem direção, perdi meu norte se esse lixo continuar no parlamento 🙏",1
ESTE CANALHA NÃO PODE FICAR SOLTO .GRAÇAS A ESTE STF COMPOSTO PORINCOMPETENTES METADE COM RABO PRESO A DEFENDER BANDIDOD Q PODEM AGREDIR DOM FRASES TERRIVEIS NOSSO PRESIDENTE E SEUS MINISTROS INCLUSIVE ESTE BEBADO DECREPTO AGRIDE O MINISTRO MORO COM PALAVROES NÃO ACONTECE NADA MAIS DAÍ A INVESTIGAR MINISTRO DO STF. NAO PODE. Q DEMOCRACIA É ETA?,1
Vocês me representam. ❤️,0
Secou a fonte pilantra. Devia estar na cadeia. Esquerdista cara de pau,1
"🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 Maravilha! Bolsonaro 2022!!!!! Vamos mudar o rumo de nossas vidas pelo trabalho, pela honra, pela honestidade e pela ética. Apoio total ao governo. Vamos defender nosso país da quadrilha comunista.",1
"UAUUUUUUUUUUU, ENGULAM ESQUERDA",1
Gente que doente !,1
"Gente isso é muito criminoso! Chega! Tem que punir sem dó esses indivíduos de almas estragadas, para que o mal não contamine outras pessoas ... #SomosTodosDamares",1
Paulo Freire era tão bom que nenhum país no mundo copiou seu modelo de (des)educação! Esquerdista safado!,1
"INDIGNADAAAAAAA!!!!! onde vamos pararrrrrr.... Ahhhh se fosse com alguma petista, tipo Maria do Rosário!!! A imprensa marrom já teria feito a maior balbúrdia!!! ISSO TEM QUE ACABARRRR!!! 😡😡😡😡",1
Leda! A maravilha do nosso jornalismo!,0
T R A I D O R A ! Ponto final !,1
👏calhordas!!!,1
O único defeito dessa foto é que eu não posso abraçá-la,0
"Fiz bem em votar em te. Valeu o meu voto, mesmo que não ganhaste. Mas votei , em pessoa de bem. Votei em um professor com eu. E votaria outra vez.Feliz Natal.",0
"Bolsonaro sem os filhos seria bem melhor,mas ...",1
Amo os dois,0
Homenzinho de última!,1
Agora já passou do limite...se está caducando...o lugar dele é em casa com familiares cuidando dele....,1
Meu Deus quanto desrespeito...essa mulher tem fibra!!!!🇧🇷👊🇧🇷👊,0
Parabéns aos pobres de direita😒,0
Lula persedente 2022,0
Essa menina é uma idiota mesmo,1
Ess joice é traidora mesmo ganhou nas costa do presidente e agora traiu,1
pastor do demônio,1
Vc merece muito mais,0
Orgulho define! 💞,0
"Concordo contigo, também sou contra essa competição de beleza. O bonito se faz belo, aos olhos de quem o contempla. Uma pessoa pode ser bela, não interessando sua estatura, peso, cor, raça ou etnia! O único alento e mérito que vejo neste concurso é ter quebrado o estereótipo histórico que contemplavam em anos anteriores.",0
Você é um Diva meu Fer parabéns por todo,0
Globo lixo!,1
ESSA GAROTA CARREGA MUITO ÓDIO NO CORAÇÃO. COMO UMA PESSOA TÃO ODIOSA PODE SER CONSIDERADA À PERSONALISE DO ANO? PELA IMPRENSA INTERNACIONAL? TENHA SANTA PACIENCIA.,1
"Ontem não consegui assistir, hoje quando vi o resultado Amei fiquei emocionado 👏👏👏👏👏",0
Avante Brasil,0
Parabéns Professor 👏♥️,0
"Haddad Presidente do Brasil, em 2022.",0
PSL esta virando um galinheiro,1
"😂😂😂 o que fazemos, recebemos! Seja o que for.",0
"Lula so ..vai ganlha, matrícula na cadeia 😂",0
Ainda bem,0
Eu ouvi um amém?! Eh muito medíocre um cara desse!,1
É vergonha alheia atrás de vergonha alheia! Ainda bem que existem guerreiros com disposição suficiente para assistirem essas aberrações e nos manterem informados!,1
"Pior do que ele falando esse monte de asneira, é um bando de asno no meio da chuva, na estrada e com um frio da porra pra ouvir essas idiotices e bater palma! 😒😒😒",1
quem tem que baixar a bola e tu Demoníaco...esse deserto de ideias que vc chama cabeça deve estar a serviço do bem de seus eleitores não convocando milícias das profunda dos infernos!,1
"Que credibilidade tem? Não sabe nem se informar do assunto, resultado passando vergonha! #globolixo",1
É só mais um factoide. Não é tão difícil assim de perceber a dissuasão que eles fazem!!! 👏👏👏,0
Filho da puta vagabundo!,1
Parabéns professor,0
Me representam,0
"O que fortalece mesmo à esquerda é: pessoas consideradas braço direito do Presidente, fazer o que fazem. Isso sim da pano para manga. O resto é desvio de assunto: Delação Palloci denúncia de pagamento de R$ 500.000,00....",0
Parabéns Presidente 🙌🙌🇧🇷,0
"🙏 Parabéns abençoado filho de Deus!!! Deus te proteja continuamente! Seja fiel a Deus e Ele cuidará de ti por onde quer que andares!!! Força, coragem e sucesso!!!!",0
Voltando pra minha caverna bom dia.,0
"Esse texto faz parte de um plano vídeo de um grupo desesperado ávido por poder com uma dor profunda por ter perdido nas urnas. Um imbecil desses merece um belo processo e uma bela investigação devastando sua vida. Se um jumento desses se diz jornalista, lastimo pela categoria profissional denegrida por esse infame.",1
São um bando de invejosos!,1
Moro coloca este bandido na cadeia por favor . Cadê os filhos dele que não apareceu pra encontrar o pai ?🤡🤡🤡🤡,1
Esse bolsolixo é um canalha....,1
Aí meu ❤️!,0
Cinco homens foram pegos em flagrante hoje cortando árvores e portando vários galões de gasolina . A delegada deu entrevista e os liberou ??? Que exemplo é esse numa hora dessas ???????,0
Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,1
Porque ela também é BANDIDA,1
Estamos juntos!,0
Qie feio pastor do diabo!,1
Al5 já pra cima dos bostas que querem destruir o Brasil,1
Duas fraudes,1
"Ser homenageado é bacana, mas Farroupilha? E os lanceiros negros?",0
Eu acho é pouco pra quem foi para as urnas vota nesse cara... Rsrsr,0
Sempre sábio o Alexandre Garcia ....,0
"Revistas de políticas brasileiras tipo a carta capital são uma vergonha nacional, lixo puro.",1
#Haddad2022,0
"Você desconhece que ela é financiada por George Soros? Stalin e Hitler também foram capa deste tipo de imprensa, não quer dizer muita coisa.",0
Lula está em todos os rolos...já nasceu safado,1
"Parabéns a todos, lindos!",0
Kkkkkkkkkkkkkkkkkkkkkkkkkkk Pepinhaaaa,1
E falam tanto em Deus....e assim vão enganando o povo. Hipócritas. Criaturas das trevas.,1
Esse bolsolixo é um canalha....,1
Avante 🏆🇧🇷👏,0
Deixe sua risada aqui,0
Mó cara de cu essa mulher ficou depois😂😂😂😂,1
É nós companheira!!,0
Isso mesmo Carla...boa pergunta... Pq em bachelet,0
"Que absurdo estamos vivendo no Brasil! Eu pergunto: não dá para processar esses idiotas por ofensa a moral de uma Ministra? Esperimenta xingar um funcionário público de qualquer porcaria de repartição pública, para ver onde vc vai parar! Então porque não se faz nada quando ofendem o Presidente ou qualquer dos seus auxiliares? Como podemos aceitar isso?",1
Parabéns meu querido Haddad. Você é tão capacitado e inteligente...#HADDADMEUFUTUROPRESIDENTE,0
Quem manda eleger esses merdas!!,1
lindos d+,0
Então a #Globo vai toda presa,1
Imbecil 🙄,1
"Neste Natal será somente eu,meu marido e minha filha,o restante do família já não frequentam minha casa devido o meu total apóio a família Bolsonaro. Meu orgulho!",0
Vagabundo,1
Aff misericórdia 😱 já está gaga... Ridículo 😠,1
"Chora seus lixo, #CHORAMAIS #aceitaquedóiMenos KKKKKKK",1
Parabéns! Merece muito,0
E quem que vai provar que é fake news? Aposto que eles mesmo ...,0
VERGONHA,1
"Pastor do céu , isso não é de Deus, semeando ódio pastor, vai orar e peça para Jesus tirar esse ódio do coração.",0
"Gente, eu pergunto: se os criminos começarem a fazer uma revolução aqui queimando onibus, invadindo residencias, promovendo o mesmo terrorismo que estão fazendo no chile, o qie vocês esperam? Que o governo responda com livros e flores.",0
Nosso futuro presidente,0
Poica branca nao cança de passar vergonha. Kkkkkk,1
#globolixo👈👎👎👎👎,1
#CANALHAS,1
"Sinceramente, cada dia pior...",0
Este presidente fala mas não sabe o que diz.,0
Eu estudo lá e posso te garantir que tem!,0
Oh diabo doido!,1
"Isso é fantástico, enquanto aqui no Brasil alguns políticos só fazem besteiras com relação a consciência negra, lá fora se valoriza a beleza da mulher negra 😍😍😍😍👏👏👏👏👏",0
Parabéns esse. Alunos👏👏,0
duas notas de 3,1
Cadeia aos racistas!,0
Socorro,0
"Isso caso intervecao militar mesmo, se o bolsonaro nao fechar o congresso e o supremo os militares vao e prender tambem.",1
este lixo ...,1
"Cara de pau ! não desiste de atormentar o brasileiros , sai em nome de jesus👑 😍",1
"Isso é repugnante, haja estômago para engolir esse tipo de gente mal amada que nojo...",1
Sera o maximo! Dois icones! Adooooro! 👏👏👏👏👏👏🙏🙏🙏🙏❤️❤️❤️❤️🇺🇸🇧🇷🇺🇸🇧🇷🇺🇸🇧🇷,0
"Penso que não... Hoje o Brasil melhorou muito. E não vemos escândalos com corrupção na Petrobras, Telebrás, Odebrecht... só vemos resultados positivos. Parabéns ao Bolsonaro.",0
"Deputada isso é tão pequeno que me assusta a Senhora ficar dando destaque, vamos nos preocupar com o país.",0
"Os eleitores dessa corja deveriam se envergonhar pois torcem contra o próprio país estamos no mesmo barco mas a esquerda é ignorante demais para verem isso, por favor nas próximas eleições não reeleja quem não quer o crescimento do próprio país!!!! 🇧🇷🙌",1
Viva o Ministro Fachin!👍🏻,0
Deveria descontar só de quem votou nesse presidente incompetente bruxonaro.......,1
"Eu acho bom ele dizer bastante cocô,pq assim quem o apoiou pode acordar e perceber que ele mitou e está nós matando de vergonha.",1
Que nojo desse homem,1
Que jornalismo das coxas fake...globoxta!,1
"Esse filho da puta quer é uma guerra no Brasil,esse cara é um psicopata tem que prender esse crápula,isso é um perigo pra sociedade brasileira",1
E isso mesmo manter o julgamento!,0
So vcs acham isto!! O povo Ta nem ai p esquerda!! Acordem,0
Patriota queimando a amazônia? Cristão apoiando assassino? A continha toda fechada. Covarde.,1
Pra presidente 2022??🙏🏾✨❤️,0
Chupa esquerdista!,1
Nojento 😧,1
O que isso está significando é que esses canalhas corruptos e sujos é quem manda no país?! Derrubam vetos do presidente e fica por isso mesmo! E o presidente não pode fazer nada para anular esses abusos desses canalhas?,1
Temos que sair desses espaços e ir para a rua mobilizar o povo todo. Acho um erro do campo progressista e das esquerdas ficarem só na conversa. Tem que partir para o ataque.,0
Enquanto existir homem e dinheiro na terra adeus natureza. O ser humano é único animal que destrói o seu próprio hábitat.,0
Pirralha,1
Terrivelmente evangélico,1
Este homem é nojento!,1
Rapunzel,0
😍😍😍😍onde curti mil vezes ??,0
"O olhar dela é maravilhoso, mas o discurso é muito melhor. 😍😍",0
Pô o Greg é sensacional. ♥️,0
Verdade companheira 👏👏👏👏❤️❤️❤️❤️🔥,0
"Mais gente vc não é a pessoa do vídeo dizendo que a Havan era da filha da Dilma quando vc sabia que a mesma era do seu amigão , não entendo de verdade o sujo falar do mal lavado , esse é o Brasil ! Podre",1
Todos dos lindos professores,0
Cara de pau. Covarde. Isso é pastor do capeta?,1
Oras. Ele está cumprindo sua campanha. Os trouxas dos gados merecem. Se ferrem tudim.,1
Dupla imbatível nas argumentações inteligentes contra esse governo desgovernado que estamos pagando....aff,0
"Globolixo sendo globolixo, mentem descaradamente. Está Leilane e um nojo, mentirosa contumais.",1
É verdade alguém tem que colocar um tapa boca nele,1
Safada sem vergonha ! Velha asquerosa !🤮,1
"Quando alguém fala que é cristão, crispa até o cabelo da orelha.",0
"Penso que não adianta discutir contra opositores, e sim atitudes",0
Triste😭😭😭,0
"Quando a gente acha que uma pessoa não consegue ser mais zé ruéla do que já é, vem o cara e se supera.",1
Deveria ser extraditado pra Cuba ou Venezuela..,1
"Sem comentários!!!!! Fez .... e continua fazendo, melhor dizendo ......",0
Canalha,1
Sem palavras! 😢💕,0
Por isso que Lula e Dilma não tinham familiares na política.,0
A Globo é um.lixo hoje falou o tempo todo acusando o Bolsonaro..Cadê os 19 governadores da esquerda do Nordeste??,1
"Cala a boca, Magda!!!",1
Piralha nem estudo tem e quer se meter em assuntos de nunca viu. E o pior é você dando moral pra esse assunto que desrespeita o presidente do nosso país.,1
Você me representa Fernando!!!!,0
Você merece Mestre,0
Bolsonaroooooooooo,0
Congresso que não vale o que o gato enterra.,1
Fdp,1
"Parabéns deputada pela sua fala, brilhante intervenção no plenário, uma voz firme quantra o preconceito. E viva o dia da concorrência negra.",0
QUANTO MAIS RIDICULA ESSA CRISI HOFFMANN PODE SER ! ELA MESMA SE SUPERA KKKKKK. O BICHA DOIDA.,1
PPELO AMOR DE DEUS ALGUÉM CANCELA ESSE CARA! GENTEEEEE COMO PODE ALGUÉM TER VOTADO NESSE ESTRUME DE VACA PODRE,1
Será que o professor já aprendeu a escrever racista? 🤔,0
@ericac_blanco ela é muito forte,0
Força Ministra ...,0
Mais noção que o bozo,1
"Isso é. O cúmulo da estupidez, da ignorância e da falta de respeito. Velho safado! Vá criar vergonha e redimir-se de suas brincadeiras maléficas!",1
Imunda,1
Ridículo....Velho babao,1
Estamos juntos Haddad 👏👏👏,0
Ta igual a Globolixo... uma fala dele e vc ta criando mentiras. Sabe interpretar nao ne!! Vc só se afunda Joice. Deprimente!!!,1
Que horas vai ser transmitido e qual canal,0
Pilantra comunista oportunista,1
"Nunca deveriam ter soltado esse marginal , inimigo da pátria",1
Parabéns aos envolvidos! (Contém ironia),0
Força Manu 👊🙏,0
Faço parte dos 50% otimistas,0
"Pelo amor de Deus, cadê o pai desta criança não vai, fazer nada só porque o veio do sbt é amigo do bozo?",1
A todos os BOLSOLIXOS QUE VOTAM NELE,1
"Vejo muito que se alimenta da escritura da Manuela,,prestem atenção na fala do presidente, não se deixe enganar e tire suas conclusões próprias,,",0
Essa pirralha é manipulada!!,1
Pão❤️,0
Que orgulho olha a postura desses alunos 🇧🇷🇧🇷🇧🇷🇧🇷❤️🙏💓💓💓,0
"Nossa ela é linda, maravilhosa 😍😍",0
Show !,0
Perfeita! Seja firme e forte minha querida. Pq muitos são fracos e inertes diante de um absurdo. 👏💗,0
Nosso furo está com eles. Parabéns,0
À vitória! 🙏🏻👏🏻👏🏻👏🏻,0
Em uma possível situação dessas (que foi o que ele falo!) Voce deve achar que tem que agir com o exercito com flores🌹 ne Joice? 👎👎👎,0
Amooo.Meu neto estuda no de BH...excelente Colégio.,0
Verdade! Então a pessoa da esquerda já pode ser presa por ficar publicando que o PR não fez nada até agora.,1
"A gente tem que enforcar esse marginal em praça pública para que sirva de exemplo aos seus seguidores, esse sujeito além de marginal é terrorista !!!",1
jura,0
Data folha??? Oi???? 😂😂😂,0
Bandido!! 👹 Deus nós livre desse capeta em carne e osso.,1
"Até que enfim ,alguém com mais ...juizo👏👏👏👏",0
CANALHA ‼️👊👊👊,1
Que menina incrível! ❤️,0
"Que ridículo!! Coisas de ministro do STF Dias Tofolli e Alexandre de Moraes para calar a população tendo em vista das notícias sobre eles publicadas, que de fake não tem nada!! #lavatoga #forastf #lavajato",1
"Pra qualquer Zé Mané é cadeia, todo rigor da lei, já pra bandido que arrasa o país, que desvia milhões, bilhões de reais de dinheiro público, que faz falta nos hospitais, nas creches, na segurança, aí esses canalhas não fazem nada, ou melhor, são totalmente coniventes e até participantes. Querida @carla.zambelli acho que o presidente deveria entregar o país para o Exército, só assim esse Congresso satânico seria fechado, o STF destituído e esses canalhas presos ou expulsos do Brasil. Não vejo outra saída.",1
Louco...psicopata...sem noção....seu lugar eh atrás das grades...inflamando o povo rebelde contra a nação.... porque vocês não vão morar no vou ME.. .na Bolívia.. .em Cuba.. .como militantes despatriados?,1
Fala ai da condenacao do companheiro pimentel😁😁😁😁😁😁,0
Discurso perfeito e emocionante,0
Manda esse Lalau pra Cuba com passagem só ida..,1
Fdp,1
Bebel e Agostinho casal perfeito,0
Esse é mais um lixo.,1
