text,offensive
Tem tonto que acredita nessa palhacada vai cortar apenas do pobre que necessitada de saude e educacao do governo esta pra ser aprovado a terceirizacao esse mes  e vao aprovar o caixa  para que as Delacoes da  Odebrecht poderem ser realizadas e nao punirem os imundos,0
Tenho nojo do flamengo timinho de torcida terceirizada de nordestinos fedidos que pensa que e carioca da gema quando nao passa de um time que tem mais identificacao com o nordeste do que com o rio Quando se fala em flamengo se imagina um monte de paraibas fedidos e sem agua falando FRAMENGO e com camisa do camelo Respeito o Vasco e o Botafogo esses sim quando se fala em rio de janeiro se lembra deles Saudacoes corinthianas,1
sempre disseram que a ronda nunca pegou uma adversaria de verdade qdo pegou alguem que bate forte mesmo afinou ela vivia correndo da ciborg pq sabia que ia perder as vezes nem e medo de apanhar e sim de parar de lucrar ,0
Voce nao pode estar falando serio,0
A populacao esta tao  manipulada que so entendem dois lados  quando nao devemos ter lado nenhum Devemos lutar contra todos os que se locupletam com o nosso dinheiro  seja de que partido for,0
Sera que o rato vai se ofender se eu fizer uma comparacao com este monte de bosta falante,1
Vira ai que eu vou apontar o dedo no seu,1
Neimar pela esquerda Gabriel Jesus pelo meio e Marinho pela direita que ataque ,0
Santa hipocrisia Batman manda ela visitar hospitais publicos para ver se estao superlotados,0
Cite amigo esquerdopata UMA LINHA ONDE DEFENDO QUEM QUER QUE SEJA UMA SO,0
Nao importa sao os mesmos jogadores,0
Em pontos corridos nao tem Riascos pra errar penalty aos  do segundo tempo rajkazblanks ,0
isso e falta de dinheiro em um clube falido,0
O Brasil tambem e uma das maiores economias do mundo e nem por isto e desenvolvido,0
mas no sao paulo o apressado come C u,1
Eu quero ver os batedores de panela e piscadores de luz de varanda Quero ver bem a cara deles,0
o investigador investiga isso vcefdpta,1
Comparacao sem nexo Tyson passou quanto tempo no auge pra chegar a fazer isso e tu sabes o motivo  Tyson e um mito que infelizmente se perdeu no fim de carreira,0
psicopata seu doido ,1
hUAHUAHUAHUAHUAHUA E UMA PIADA MESMO ESSE PRESIDENTE ,0
Sr presidente o Brasil esta ao seu lado que venham as reformas chega de mimimi e vamos trabalhar,0
No fim vamos ficar com os que ja estao ai,0
Carambaachei que ela ja tinha morrido e o Tirso tambem,0
Ganhou com BILHOES roubados da Petrobras BNDES e Furnas,1
so digo outra coisa  fdss,1
Inversao de valores ao inves dessa velha visitar hospitais asilos orfanatos visita presidios vai tomar no ,1
ESTAMOS PERTINHOS DE UM MILHAO DE PARTICIPANTES ACORDA BRASIL,0
Olha se fosse assim ja tinham prendido e esquartejado o luladrao e kd ,1
So abestalhados fazem essa prova imunda rsrsPor isso que voces sempre serao os nossos escravos ,1
Nao contratava mais medalhao o flamengo so gasta e gasta tendo os garotos da base,0
isso e uma bishona daqui a pouco ele fala que se o leicester ganhar a champions ele da ucu,1
Que diferenca faz ,0
Marcio nao sou seu irmao nao Nao tenho irmao baitola,1
dl nem sei o que e melhor Nigeria ou venezeruela,0
Nao entendi essa comparacao o Tyson nunca foi um exemplo pra nada muito menos no ambito psicologico,0
Esse dinheiro ira fazer brotar agua do solo ,0
ainda precisa de centroavante e lateral esquerdo,0
Sonia o cartao corporativo do seu presidente ja bateu a casa dos R  milhoes em  meses,0
Ela deveria levar o Renan Calheiros junto com ele mas ele ficaria la mesmo,0
A FMI nao manda nas economia mundiais Que vao a mer rda,1
Raca de filhos duma pta Por que nao vao obstruir aquele gordinho ditador da coreia do Norte,1
Lugar de mulher e na pia fogao e cama,1
Essa  muie nem drome nem da cuie nem brinca em fiuvicoCuidado,0
Depois de legalizar a maconha agora o uruguai legaliza outra droga Um pais a beira do precipicio ,1
E isso  ai Rafael aqui esta  cheio de analfabeto querendo dar pitaco,1
Idiota,1
Saude educacao emprego e seguranca nao existe mais neste pais lamentavel,0
Nao vai dar em nada,0
 gols em  jogos oficiais media de  Melhor do mundo,0
quando sua me devolver o troco de R  pelo servico oral que ela me fez,1
Reforma estrutural no seu rbbono meu nao,1
Porque vc acha que precisa receber para protestar  sua vida deve estar muito boa  porque para a maioria esta uma bosta  ,1
E os tucanos  reis das delacoes ,0
Ele e ficha suja e esta inelegivel nao sabia,0
E DALHE DALHE PORCO E DALHE DALHE PORCO CHUP MOLAMBOS FICARAM SO NO CHEIRO,0
AdiANALdo  A prega no final continua firme e forte ,1
Cortar a propria carne   Estou vendo so  o ze povinho se ferrar Cortar na carne e diminuir o inchaco da maquina publica  e diminuir o ganho dos politicos ,0
globo e sergio moro fizeram boca de urna nessas eleicoes,0
Todo mortadela e vitima de sua propria ignorancia,1
e um monte de bosta mesmo no minimo e do norte ou nordeste que trabalhar que e bom nao trabalha vive do bolsa familia por isso vai votar no luladrao,1
Que carne  Ele nao recebe salario minimo ja e aposentado nao precisa do SUS e muito menos de educacao publica a unica carne que ele esta cortando e da pobre quando politicos e ricos serao atingindos ,0
Fica ai Janete traste inutil Destruiu o brasil vaca,1
ESSA MULHER FAZ CADA COISA,0
Vai lavar louca dona,1
e quando vao pegar nosso dinheiro de volta com os sanguessugas,0
kkkkkkkkkkkk tulio nao ele conta ate de golzinho no asfalto,0
A casa caiu,0
MarcosVc nao cansa de ser estupido SabeAte para ser mau carater tem limites Vcs foram varridos por serem incompetentes corruptos e genocidas canalhs,1
QUE LINDINHO ESSE MOCO COM ESSE OCULOS,0
Sao mesmo agitadores e so o que sabem fazer ha a tempo ainda sabem tambem roubar,0
Renato voce tem toda a razao temos de acabar e com aquele desgoverno passado tipo populista que ao inves de ensinar a pescar quer dar o peixe e com isso se perpetuar no poder a qualquer custo,0
Esse tem um empresario bom,0
Nao pode ser serio o que acabei de ler,0
Concordo plenamente e so o que sabem fazer Quando tentaram governar deu no que deu,0
Mais um jogo e o flaF E Z E S sem estadione g l o b o,1
A leveza de um paralelepipedo e a honestidade de um NOVE DEDOS,0
OS PETRALHAS ESTAO ARRUMANDO ESCONDERIJO,0
Verdade e triste mais e verdade ,0
Provavelmente esta planejando a rota de fuga para o pais vizinho,0
Cheiro de coco aqui,1
Os  do Rio os  de Sao Paulo  do Rio Grande do Sul e  de Minas Gerais   grandes ,0
Tomara que esteja certo colega,0
Esse pais esta podreque nojo,0
Enquanto isso o teori segura a bronca no stf,0
Seja feliz,0
O gordao ainda fica rindo consegue nem ficar de pe,1
O dia do seu macho vai chegar Aguarde compre lenco pro choro Esterco humano,1
Enquanto isto o Senado gasta  mil na decoracao de um gabinete,0
Quando sera a visita aos HOSPITAIS  PUBLICO do DF,0
 O Flamengo vai assumir a ponta a Demora e voltar a jogar no Maracana,0
Ave Dra Carmen Lucia os que estao prestes a morrer lhe saudam ,0
Arregao,0
 acabou  a mordomia dos comunistas  vao trabalhar  fora seus corruptos,0
O cara vai chupar uma piroca  vai,1
Emocionada pela morte ou pela posse,0
O importante e ganhar meu filho acorda pra vida,0
Paulo extirpado vai seu C U,1
Se vier  sera  um bom reforco,0
Vinicius Moraes posso te chamar de Naldo  Eh mais adequado kkkkkk,0
Meigos eles sao mas cheiroso nao Fedem a Urubu,1
PARA ALGUNS ACEFALOSESTE CIDADAO SE TORNOU UM MITO  MAS A CADA DIA PERCEBEMOS QUE NAO PASSA DE UM RATO LADRAO  ME DIGAM O CONTRARIO ,0
Junto com temer  idiota Sao as escolhas dos petralhas,1
Gostei das mudancas Novas estrategias,0
E o CR ganhou tudo o que o Messi nao ganhou Choremmmmmmmmmmmmmmmmmmmmmmmmmmmm,0
Gastar  mil com reforma do gabinete de romero juca e sacanagem com o povo,0
JA VIROU NOVELA CHEGA CANSAMOS,0
seja bem vindo que faca um bom trabalho,0
rosana a sua revolta e devido a falta de mortadela ,0
Cortando a propria picanha no churrasco de domingo Deve ter faltado o churrasqueiro,0
Nossa que coisa relevante a mulher dele e voluntaria,0
Jogando o milho e sentando no sabugo ne maria,1
Sera que agora ganha copa do Brasil ,0
Corta na propria carne do povao enganado pelo sistema  es goto de televisao,0
Tabare Vazquez vc deveria escolher melhor suas amizades ,0
Vai te lascar miquinho amestrado,1
G CANALHAS E OS COMENTARIOSENFIA LA,1
Cosmo Santiago Larga de ser mortadela e vai procurar emprego ,1
Corta a propria carne onde Ministros teriam burlado regra da FAB em  voos,0
Comedor de Trakinas,1
Tem que visitar nossas ESCOLAS e HOSPITAIS ,0
KKKKK MAIOR LADRAO QUE MERECE A MORTE ,1
Parece mesmo com um sapo boi,1
Irao sentir na propria carne quando estiverem no inferno pagando pelo que estao fazendo,0
O Sao Paulo ja foi rebaixado ,0
Esses recursos vao sair de onde ,0
Em filmes e novelas a culpa e sempre do mordomo,0
Estes politicos ai de Brasilia praticamente nenhum tem ficha limpa sao os maiores ladroes do Brasil,0
Tem alguem disponivel pra levar no aeroporto,0
canta com se tivesse engolindo  litro de porra,1
Senado pagara R  mil por reforma no gabinete de Romero Juca PMDBRR,0
o fanatismo nao e uma doenca fisica e nem espiritual mas sim uma doenca da ignoranca e odio   ,0
Eis que a sorte bate a porta ,0
fim da isencao de impostos para todas as igrejaschega desta bagunca,0
votaremos em quem quisermos o voto e livre se vc nao gosta problema o seu,0
ESTAMOS PERTINHOS DE UM MILHAO DE PARTICIPANTES ACORDA BRASIL,0
Martin Sales deixa de ser idiot  agora ninguem pode discordar do temer que e mortadela so nesse pais mesmo que pobre metido a besta defende a direita,1
Mano na boa Valdeny as coisas nao funcionam que nem no seu mundinho nao,0
sente o cheirinho do meu peido kkkkkkkkkkkkkkkkkkkkkkkk ,1
Essa corrupta terrorista apresenta uma ameaca ao honesto povo Uruguaio,1
VAI NO CEMINTERIO ESTA MAIS LOTADO CHEIO DE INOCENTES MORTOS PELAS MAOS DESSES VERMES,0
Essa e boa com alguns politicos  peco se possivel informe os bons politicos kkkkk,0
Se essa coisa ficar mais uma semana  la o Uruguai entra em recessao,1
quem ja viu bandidos fazendo leis contra anticorrupcao ,0
Carmen Capivara Lucia por favor me de o exemplo e leve meia duzia dessas vitimas da sociedade pra sua casa faca um coquete nele libere o anel de couro de refresco de groselha mostre que tem coracao ,1
roubou ate a neve brancamacaca,1
cala a boca truta xincheiro,1
Uma enorme e bem recheada pizza,0
AS RUBRONECAS PIIIIIIIIIIRA COM CHEIRINHO DE PUM DE PORCO,1
alo sua vai botar ovos suas fracast ,1
presidio e lugar pro sujeito pagar seus pecados e nao ficar num resort de ferias,0
Bebeu creolina malucoVa estudar politica,1
Marinho kkkkkkk so por que jogou bem ontem e ja merece selecao,0
marcos e eu que achava que politica era  uma ferramenta de transformacao quato engano,0
Voce nem sabe o que fala mano voce nem sabe chutar uma bola ENTENDE NADA DE FUTEBOL CRFOREVER,0
De tanto falarem em cheirinho perderam o olfato Rsrs,0
Rosangela voce nao tem nivel nem para comentar um assunto deste E uma coitada,1
Se ela concluiu o ato e porque ele concordouai nao e estupro kkkkkkkkkkkkkkkk,0
Saida pela tangente ou tambem comprando casa,0
O que o Carlinhos Brown ta fazendo aivai cantar as babaquices dele,0
Foi divulgado sim procura ai que tem,0
Bandido tem mais e que peidar pra Muzenga mesmo Resolvam esse problema de superlotacao fazendo pelo menos  Carandiru por dia Simples ,1
Finalmente ele vai ser preso,0
MPF a trabalho dos interesses tucanos e pmdbistas,0
mauro e demente kkkkkkka guerra fria ja acabou faz tempo,1
OBSERVO QUE ESTAO COMPARECENDO MUITO MAIS DESCONTENTES COM O GOLPE MUITO BOM,0
Entao ministra mais um motivo para instalar a pena de morte,0
Quando esse cara comeca a falar eu mudo de canal,0
Dinheiro a gente pega com quem tem Nao com quem ta quebrado,0
tem que colocar pena de morte ai vai diminuir bastante,0
o Flamengo sem motivacao nenhuma mete  x no santos,0
Tremendo Gozador esse Daniel Alcantara  Mas se nao for gozacao lhe digo Daniel Deixa de Falar Bosta Daniel,1
Mano na boa Messi ja foi eleito o melhor fora de outro time Se for seguindo esse teu criterio Pele George Best Maldini Iniesta  Garrincha e muitos outros sao uns BOSTAS pois esses citados nunca foram os mesmo em outros times e algunsMaldini e Iniesta nunca chegaram a jogar por outros clubes  Pele jogou por  anos no Santos e ninguem disse nada ,0
Alexandre esta maluco so pode comeu titica quando crianca,1
Carlinha Antinha a servico dos petebas Ridicula,1
Isso ai e a materia ou so o titulo Kd o resto,0
Todos com o nordeste sempre os bandidos estao todos no sudeste,1
Usando o calculo diferencial e integral se voce tem  anos de contribuicao e comecou aos  anos hoje tem  anos pela reforma vai cair no pedagio de  ate  faltam  anos talvez voce trabalhe mais uns  anosse tivesse menos de  anos cairia na reforma completa,0
O PALMEIRAS VAI SER CAMPEAO  SEM MIMIMI MUNDIAL DE ,0
E as familias dos soldados e dos civis mortos pelas bombas dos terroristas so recebem xingamentos Esse pais so defende e da premios a bandidos,0
Esse negro e o seu pai Sua mae deu pra ele quando jovem,1
Aluisio tu es um verdadeiro idiota,1
Cortando na propria carne aumentando em  os gastos com propaganda ta bom,0
A economia de uma casa ou empresa e diferente da economia de um pais uma empresa pode corta gasto bem mais facilmente mas seu o governo corta gastos gera desemprego e queda da economia John Maynad Keynes  Todos defendem gasto com responsabilidade agora cortar gastos de educacao e saude que nao ,0
IDOLO DO FUDINENSE E SERIE B TEVE QUE ENTRAR NA JUSTICAO PRA NAO CAIR,1
kkkkk aqui so tem ze mane que ta na guerra fria ate hoje,0
Ajudou afundar o pais E nao tem vergonha na cara Acha tudo normal,0
Peco mais respeito por favor Falei,0
Mais dinheiro desviado em   ,0
Na carne de quem carapalida,0
Eduardo comedor de alfalfa rs,1
 indiciacoes em  semana ja pode pedir musica,0
CADE O GALVAO PRA NARRAR AGORA   FALIIIIUUUUUUU FALIIIUUUUUUU FALIIUUUUUUU  ,0
DEVOLVE MEU NICK MARICA DESOCUPADO,1
calma tudo e questao de tempo lembra do Cunha,0
Deve estar verificando a possibilidade de asilo para o Lu,0
Acaba de comprovar a burrice que lhe imputava,1
Que tal  cada indulto dado um juiz leva um preso para casa,0
Para ele que tem varias aposentadorias nem vai sentir o corte   kkkkkkkkkkkk,0
Depois que recebeu o premio agrado da Globo ta se achando,0
Mauro e dementekkkkkkquem ta lutando por poder sao voces apoiando bandidos no poder,1
Porque nao reduz os salarios milionarios de toda a classe politica  porque nao  nao cria uma lei em que todos os politicos arquem com suas despesas  porque nao acaba com o foro privilegiado de parlamentares porque nao cria mecanismos pra colocar os corruptos na cadeia e fazer com que devolvam o que roubaram ,0
aqu nao tem lugar para carne de pescoco o povo gosta so de picanha na parrilla,0
O problema e os caras tirarem dinheiro da previdencia dos trabalhadores da iniciativa privada para pagar beneficios para servidor publico civilmilitar,0
Ficam um monte de mocinhas brigando por Messi e CR Virem homens,0
E O PIAUI QUERENDO ASSUSTAR O MUNDO COM ESTA FIGURA OU SO NASCE GENTE FEIA LA,1
sabe o que ela tem mais que nos Ela tem mais e QSF,1
Coitada e o minimo a definila      Eu a chamaria de PODRE   ,1
Muitas denuncias muitas provas e pouca cadeia ,0
MENOS UM MAS TEM QUE QUEIMAR LOGO O CORPO DELE ANTES DE CHEGAR NA PORTA DO NEM SEI E POLITICO MESMO  DO INFERNO,1
Cabra frouxo,0
correto  Adriano Adryan e melhor q Cirino Gabriel Fernandinho etc,0
Passei por aqui so pra deixar meu FORA TEMER,0
Temos que acabar com esses rotulos de esquerda ou direita Tem politicos corruptos em todos os partidos Vemos com clareza que alguns partidos defendem interesses da elite e outros do povao Outra PMDB e PSDB nao sao partidos sao quadrilhas organizadas,0
Se depender do STF Manda soltar todo mundoE com aposentadoria Ainda por cima,0
Claro que nao Votacao no G quem ai e a favor da PEC dar um verdinho e quem for contra o vermelho Vamos ver se realmente impopular,0
 temporadas pelo RALA e  titulos kkkkkkkkkk Messi em  anos de Barca tem  titulos,0
Lurdinha burra,1
Raposao politico de profissao  ta no fim da carreira e o Piaui o adora  Eh boca mole eheheh,1
ato pela democracia ta bom me engana que eu gosto,0
realmente  mais o brasil  tem que muda essa situacao  se nao   nunca saira desse  mar de lama  ,0
teu c,1
nem deveria ter contratado,0
so queria dizer que   po de arroz e maquiagem    sem mais  ha e antes que eu me esqueca paguem as series b  ,0
Ilegitimo Foi vc que votou no Temer Eu votei Aecio Quem colocou seu presidento no poder foi vc,0
Uma visita aos familiares vitimados por essa escoria sera louvavel,0
Verdade nao sabe mesmo  Escala mal e substitui pior ainda E o culpado pela perda do titulo,0
Eu acho que voce esta na pagina errada,0
Alem de burro e analfabeto,1
Sabe onde esta o dedo que falta Socado na sua mae kkkkkk,1
gracas a idiota Levandowhisky,1
Votaram no PEZAO Agora tomem no CZAO,1
Com o Botafogo tudo e dificil Eu acredito na classificacao Avante Glorioso Botafogo,0
Paulo Bertazzi  o que voce quer e uma ditadura de novo,0
RUBRONECAS,1
Maycon ate admito que o negocio em si foi bom para o Fla mas atualmente nao acredito em nenhuma das duas coisas nem que ele va jogar bem e nem que o Fla levante alguma taca esse ano kkkkk,0
e rogerio todos tem mais essa anta nao coloca pra jogar,0
Meus caros amigos enigmaticosNao deveriam comparalo ao Tyson Tyson e um grande mito do boxe  mas que deixou a desejar no lado pessoal  Entao se nao e bom no lado pessoal ou no profissional o cara nao e completo Chequei nesse raciocinio assistindo o Faustao       ,0
Povao O governo quer cortar direitos previdenciarios e cortar gastos com educacao e saude Tudo isso para manter os privilegios dos poderosos Nao podemos aceitar Vamos protestar Vamos de Lulo  e Lulala ,0
Entrei so pra ler os comentarios dos peritos,0
Nao e afoito nao Contra o Cruz foi muito paciente atraindoo para trocacao franca So deu blitz contra os adversarios anteriores contra quem tinha grande confianca nao sem motivo de que botaria para dormir,0
Caro Presidente Temer quando o Sr falar em cortar na propria carne por favor comece pelas mordomias dos Srs inclusive a aposentadoria do Sr previdencia diferenciada para politicos e o primeiro item a ser observado e nao a do empacotador do mercado da esquina nao zombe da minha inteligencia por gentileza   ,0
ele possui outro recorde tomar  gols em um jogo,0
esse e o caminho do crescimento,0
flaM E R D AflaF E Z E SEXCREMengo,1
Nossa Anselma bibona invejosa sem criatividade,1
Em pontos corridos nao tem apagao de refletor pra esfriar o adversario rajkazblanks ,0
Nao da nem pra comparar fato,0
kkkkkk ,0
QueseFODAesseFDP e quem gosta e defende ele tbm,1
Vitimas desses bandidos ninguem visita ne uma porque  eles ja mataram ,0
o triplex caiu,0
Sera muito bom para suas empresas para o povo nao,0
Nao e possivel que deputados tenham tantos cargos comissionados ao seu dispor E esse tipo de coisa que precisa ser cortado,0
Vai pagar muito boq na cadeia para outros presos com essa boca de buc inchada,1
Debil mental ,1
Talvez Luiz vc nao seja bom o bastante para tirar uma nota boa e fica de mimi eu entrei atraves do ENEM e to de boa estudando sem nenhuma conspiracao kk,0
Ze Ricardo vc e burro,1
UM DOS MELHORES  SE NW O MELHOR E RONALDO   DE VOLANTE OU LATERAL  JOGA  MUITO,0
Irmao Honorato sempre falando verdades e agindo com a razao ao inves da emocao diferente dos tupims Te amo seu lindo,0
ELENCO GRANDE E DE POUQUISSIMA QUALIDADE ,0
Mulambos  nao passam da primeira fase da liberta  Quem viver vera  Vao ficar so no cheirin De novo Frameigo o clube mais cheiroso do Brasil  Kkkkk,1
pra mim ta vazio a ministra que vai cuidar dos politicos safados que eles protegem ,0
Em pontos corridos gritinhos de eu acredito nao colam rajkazblanks ,0
Lamentavel mais eu garanto que em  meu voto e do Luiz Inacio Messias da Silva,0
Seu idiota Flamengo nao vai pagar o salario do Conca integramente e ele  vai receber  so quando comecar a jogar fala besteiras nao,1
Boca de buxeta,1
no momento nao esta nem entre os  melhores  mas joga facil,0
Paulo cid mata baratas quando ele assinar o contrato depois de um mes ja recebe o salario integral ou vc acha que ele vem da china para o fra e vai ficar  meses sem receber Nao acredite em tudo que sua diretoria fala inocente,0
Que comentario de bosta foi esse deve acompanhar muito o futebol europeu pra fazer um comentario desse,1
Agora ela virou Ministra da Seguranca ou nao tem nada pra fazer no STF  ,0
Deve ganhar o premio FIFA foi o melhor da temporada,0
ALIENADA ,1
Mano na boa na boa mesmoManona boana boa manoManooooooooo ,0
A quanto tempo voces nao disputa uma libertadores,0
Parabens Pres temos que tomar mediadas duras e culpa do PTe,0
pois aquela novinha para receber alguem  sabe qual e o salario dela aivamos mandar cortar ela,0
No Nordeste acontece de tudo ,0
So ve um lado da historia voce Se eu to com a vida ganha ganhando quase  milhoes por mes durante  anos por culpa do Fluminense pq ele nao era nada antes disso Eu sinceramente jogava ate  de graca Essa era a obrigacao dele A melhor forma de retribui essa vida boa que ele ganhou gracas ao Fluminense O que e  mil perto de tudo que ja ganhou  Isso se chama ganancia mercenario nao e idolo,0
Coloca os moleques no carioca pra pegar experiencia,0
Que tornozeleira eletronica,0
voce falou tudo,0
ESTA ANTA  QUE ESTA AI AGORA SO FAZ CADA UM DE NOS SOFRER ENQUANTO  SE BANQUETEIA COM OS NOSSOS SALARIOS VAI EMBORA  E LEVA SEUS AMIGOS ANTASGOLPISTAS E SAFADOS COM VOCE,1
Aa que isso  as tricoletes estao descontroladas,1
Nao joga nada  ainda esnoba o Brasil  Espanhol  de merd,1
na moral e ser muito louco dizer que CR e melhor que Messi por favor velho,0
E a farra dos ministros POLITICOS  e mais gente do governo com aviao da FAB quem paga a conta esse corte na carne nao existe Agora se  viajassem em aviao de carreira ai se acreditava ,0
Torra se absurdo com politicos militares judiciario e o problema e o velhinho que com  pega um salario minimo,0
Esse BOFE do Joao Paulo alem de ser LINDO deve ter um PAUlo MARAVILHOSO Noizinhas do MENGAO amamos SRNSomos Rabudas Negao  dcm DIAMETRO CRFCheirinho R Fedida,1
Pesquisa comprada,0
Atras so do Robinho e do Fred campeoes da Copa do Brasil ,0
Esses petebas sao piores que asnos puxadores de carroca,1
o cara se gaba de ser segundo eh pra quem nao e mais nada ser segundo e alguma coisa ja,0
o problema nem sao os salarios  O PROBLEMA sao as verbas eventuais  desembargador recebendo  MIL  e a justica e cega tem cara pedindo vista nao ta enxergando nadaou se faz de cego ne STF ,0
 Por isto ele usa o pseudonimo  de SURREAL bidu ,0
Cade as provas,0
esse partido chamado P T e esse P Sol sao uma doenca pra nossa nacao um enfermo,0
MARIAS NO CIO SOU LOUCO POR MARIAS,1
Paulo Henrique eu nao sou de esquerda Nao se trata de ideologia partidaria As pessoas precisam procurar fontes seguras e antagonicas sobre o assunto antes de usar uma logica de      sem olhar para o problema de forma macro,0
